,Sex,Description,count
0,F,DISORDERLY CONDUCT,1
1,F,non agg assault,1
2,F,Withhold Property,2
3,F,Passing Bad Checks,75
4,F,Counterfeiting,162
5,F,misc Inv,1
6,F,Pornography,66
7,F,offensive contact,1
8,F,embezzlement,1
9,F,IDTheft,1
10,F,Sex Off Fondle - mol,1255
11,F,Hacking/Computer Inv,44
12,F,Sex Off Indecent Con,279
13,F,Negligent Manslaught,2
14,F,stealing-bldg,1
15,F,Trespassing,3938
16,F,Stealing All Other,9515
17,F,Steal from Auto,1
18,F,Burg Res Occ,1
19,F,Aggravated Assault (,13935
20,F,\,2
21,F,Possession of Drug E,2000
22,F,Sexual Assault with,13
23,F,Misc Viol,1
24,F,misc investigation,2
25,F,agg dv assault,1
26,F,Fraud/Confidence Gam,2755
27,F,disorderly conduct,2
28,F,Sex Offense -others,417
29,F,PROPERY DAMAGE,1
30,F,Kidnapping/Abduction,460
31,F,Fraud Confidence Gam,24
32,F,Obstruction,1
33,F,Violation Full Order,3006
34,F,Stolen Property OFFE,647
35,F,Agg Assault - Domest,9207
36,F,Stalking,78
37,F,Extortion/Blackmail,29
38,F,Non Aggravated Assau,22858
39,F,Steal bldg,1
40,F,Impersonation - NOT,150
41,F,Forcible Sodomy,1358
42,F,Peeping Tom,17
43,F,armed robbery,3
44,F,Intimidation,5617
45,F,Curfew,243
46,F,Stealing Coin Operat,16
47,F,property damage,2
48,F,stealing,1
49,F,Embezzlement,882
50,F,False Information to,424
51,F,Stealing Pickpocket,365
52,F,Hit and Run of a Per,40
53,F,Forcible Fondling,64
54,F,Rape,2433
55,F,HOMICIDE/Non Neglige,160
56,F,Misc Violation,12433
57,F,Prostitution/Patroni,396
58,F,kidnapping,1
59,F,`,1
60,F,Sex Off Misconduct,506
61,F,stealing from bldg,3
62,F,stealing from buildi,2
63,F,4,2
64,F,Stealing Acc,1
65,F,Disorderly Conduct,2902
66,F,Animal Cruelty,5
67,F,Agg Assault,6
68,F,Stealing Purse Snatc,543
69,F,Missing/Runaway Juve,36
70,F,c,1
71,F,Possession/Sale/Dist,3170
72,F,burglary res,1
73,F,Bomb Threat/Intimida,186
74,F,Liquor Law Violaton,421
75,F,Auto Theft7,1
76,F,Attempt Suicide by P,1
77,F,Stealing From Buildi,1
78,F,Defrauding an Innkee,1
79,F,Impersonation,2285
80,F,sexual assault,1
81,F,resisting an officer,3
82,F,Stealing Shoplifting,12191
83,F,Harassment,2
84,F,Casualty (includes a,3
85,F,Interference with Cu,429
86,F,Identity Theft,1293
87,F,stolen identity,1
88,F,broken window,1
89,F,Family Offense,2366
90,F,Auto Theft Outside S,42
91,F,Statutory Rape,354
92,F,Intoxicated/Street,1
93,F,credit/debit/atm car,1
94,F,Stealing From Auto,18583
95,F,Property Damage,27590
96,F,Non Agg Assault,4
97,F,Intimidation (DV),1
98,F,Justifiable Homicide,1
99,F,Violation Ex Parte O,1556
100,F,],1
101,F,counterfieting,3
102,F,Suicide - Domestic V,1
103,F,RAPE,1
104,F,1,1
105,F,Human Trafficking/Co,7
106,F,Arson,680
107,F,Burglary - Non Resid,1013
108,F,fraud,5
109,F,Failure to Return,141
110,F,Harrassment/threats,1
111,F,CHILD ABUSE,1
112,F,Welfare Fraud,7
113,F,Armed Robbery,5530
114,F,Attempt Suicide by S,3
115,F,Strong Arm Robbery,4137
116,F,Aggravated Assault,7
117,F,Drunkenness,71
118,F,intimidation,1
119,F,wire fraud,1
120,F,Prostitution/Solicit,360
121,F,stolen auto,1
122,F,Sex Off Follow/Entic,59
123,F,Agg Assault - Drive-,1434
124,F,Arson with Fire Bomb,40
125,F,possession of drug e,2
126,F,STEALING ACC,1
127,F,Family Disturbance,31
128,F,Stealing Auto Parts/,11415
129,F,AGG DV ASSAULT,2
130,F,Sex Off Indecent Exp,260
131,F,Agg Assault Dome,4
132,F,Promoting Prostituti,113
133,F,Misc Viol(2601),1
134,F,Sex Off Incest,9
135,F,Wire Fraud,950
136,F,Stealing Bicycles,294
137,F,Driving Under Influe,1751
138,F,Forged Checks,901
139,F,Loitering,13
140,F,black mail,1
141,F,Credit/Debit/ATM Car,2953
142,F,Auto Theft,15083
143,F,stealing acc,1
144,F,ENDANGER THE WELFARE,3
145,F,Weapons Law Violatio,675
146,F,forgery,1
147,F,interuption of servi,1
148,F,Dead Body,257
149,F,auto theft,2
150,F,Resisting an Officer,2101
151,F,Suicide By Shooting,1
152,F,Non Agg Assault Dome,38016
153,F,Forgery,1039
154,F,misc juv,3
155,F,Fraud,134
156,F,AGG ASSAULT,1
157,F,Stealing from Buildi,13919
158,F,misc violation,3
159,F,Burglary - Residence,23919
160,F,False ID,29
161,F,misc off,1
162,F,s,1
163,F,TRESPASS,1
164,F,peace disturbance,1
165,F,AUTO THEFT,1
