,yr,dsc,max(num)
0,2010,Strong Arm Robbery,1542
1,2011,Promoting Prostituti,31
2,2013,Drunkenness,156
3,2013,misc Inv,1
4,2016,Sexual Assault with,6
5,2018,Auto Theft Outside S,47
6,2010,Forcible Sodomy,324
7,2011,Forgery,645
8,2013,Sex Off Fondle - mol,247
9,2013,Violation Ex Parte O,245
10,2014,Possession/Sale/Dist,4704
11,2011,Accidental Drug Over,3
12,2012,Stealing All Other,5347
13,2013,Missing/Runaway Juve,2
14,2016,Statutory Rape,60
15,2016,Sex Off Follow/Entic,12
16,2011,Impersonation,1313
17,2016,Resisting an Officer,1551
18,2016,Stealing Pickpocket,109
19,2018,Business Robbery,3
20,2010,littering,2
21,2015,Intimidation (DV),2
22,2013,burglary res,2
23,2015,Violation Full Order,743
24,2015,CHILD ABUSE,2
25,2017,Missing/Runaway Juve,7
26,2010,Forged Checks,471
27,2010,Stealing Bicycles,178
28,2011,Rape,600
29,2016,Family Disturbance,6
30,2010,HOMICIDE/Non Neglige,155
31,2010,Accidental Drug Over,2
32,2015,Wire Fraud,275
33,2016,Forcible Fondling,10
34,2016,Sex Off Misconduct,149
35,2017,Kidnapping/Abduction,233
36,2011,HOMICIDE/Non Neglige,130
37,2012,fraud,2
38,2014,armed robbery,3
39,2014,Non Agg Assault,5
40,2017,Agg Assault - Domest,3031
41,2012,stolen identity,2
42,2013,Trespassing,3090
43,2017,Impersonation - NOT,86
44,2011,Stolen Idenity,2
45,2013,Stealing Pickpocket,128
46,2015,auto theft,4
47,2016,Suicide By Shooting,1
48,2018,stealing from buildi,3
49,2011,Interference with Cu,107
50,2013,Stealing Coin Operat,101
51,2015,Arson with Fire Bomb,15
52,2016,Credit/Debit/ATM Car,1212
53,2018,Family Offense,573
54,2018,Family Disturbance,20
55,2014,Impersonation - NOT,44
56,2014,liquor law violation,2
57,2016,Weapons Law Violatio,1968
58,2017,auto theft,1
59,2011,Sex Offense -others,77
60,2014,Loitering,31
61,2015,Peeping Tom,8
62,2016,Sex Off Fondle - mol,291
63,2010,Violation Ex Parte O,259
64,2012,intimidation,2
65,2013,Attempt Suicide by S,1
66,2014,Stealing from Buildi,5342
67,2014,Auto Theft Outside S,43
68,2015,Embezzlement,481
69,2018,Possession of Drug E,1693
70,2018,Non Aggravated Assau,6432
71,2011,agg assault,2
72,2011,Strong Arm RoBBERY,2
73,2014,Sex Off Misconduct,111
74,2014,False ID,15
75,2016,Identity Theft,1493
76,2017,Misc Viol(2601),2
77,2018,Stealing Bicycles,183
78,2018,Sex Off Indecent Con,64
79,2010,Agg Assault - Domest,1486
80,2010,Sex Off Incest,2
81,2013,False Information to,135
82,2013,Aggravated Assault,6
83,2013,Stalking,8
84,2016,Sex Offense -others,92
85,2017,Agg Assault - Drive-,692
86,2017,Bomb Threat/Intimida,110
87,2018,Stealing from Buildi,4749
88,2018,Stealing Auto Parts/,4316
89,2015,Justifiable Homicide,2
90,2017,Possession/Sale/Dist,5276
91,2018,Missing/Runaway Juve,5
92,2010,Statutory Rape,87
93,2010,misc off,2
94,2011,Dead Body,224
95,2012,Sex Off Indecent Con,121
96,2013,Family Offense,584
97,2013,burglary-res,2
98,2014,HOMICIDE/Non Neglige,83
99,2018,Auto Theft,8912
100,2010,Arson,744
101,2011,stealing shoplifting,2
102,2014,PROPERTY DAMAGE,2
103,2016,Intimidation,1528
104,2016,Auto Theft,8421
105,2017,Sex Off Follow/Entic,17
106,2010,Disorderly Conduct,1904
107,2010,Burglary - Non Resid,2368
108,2010,Missing/Runaway Juve,13
109,2013,Non Agg Assault Dome,7642
110,2013,Agg Assault - Drive-,447
111,2013,stealing from bldg,2
112,2017,counterfeiting,1
113,2016,Stealing from Buildi,5072
114,2018,HOMICIDE/Non Neglige,272
115,2012,Negligent Manslaught,1
116,2013,Impersonation,889
117,2016,disorderly conduct,4
118,2017,4,2
119,2011,child molistation,2
120,2012,Loitering,23
121,2012,trespsssing,3
122,2013,Burglary - Residence,11746
123,2013,Littering,2
124,2015,Hit and Run of a Per,20
125,2015,Arson OTH,2
126,2011,Family Offense,510
127,2016,Stealing Bicycles,177
128,2016,Dead Body,61
129,2017,Auto Theft,9338
130,2018,Possession/Sale/Dist,4902
131,2011,Armed Robbery,3545
132,2014,Curfew,65
133,2018,Armed Robbery,3154
134,2011,Curfew,57
135,2011,Suicide By Sleeping,2
136,2013,Embezzlement,406
137,2016,False ID,5
138,2011,Loitering,20
139,2016,Animal Cruelty,14
140,2017,Stealing Auto Parts/,4026
141,2017,Auto Theft Outside S,52
142,2012,property damage,3
143,2015,Arson,405
144,2017,Forcible Fondling,17
145,2010,Failure to Return,45
146,2010,burglary residence,2
147,2011,Fraud Confidence Gam,31
148,2011,Littering,2
149,2012,Pornography,14
150,2017,HOMICIDE/Non Neglige,252
151,2018,Stalking,52
152,2018,Peeping Tom,6
153,2010,Interference with Cu,96
154,2010,False Information to,213
155,2011,wire fraud,2
156,2012,Family Disturbance,7
157,2013,possession of drug e,3
158,2014,Sexual Assault with,2
159,2015,Impersonation - NOT,79
160,2016,kidnapping,2
161,2017,Arson with Fire Bomb,8
162,2012,Fraud Confidence Gam,2
163,2014,Peeping Tom,4
164,2014,Passing Bad Checks,17
165,2016,Possession/Sale/Dist,4714
166,2010,Sex Off Misconduct,87
167,2011,Prostitution/Patroni,273
168,2011,Hindering,2
169,2011,Family Disturbance,4
170,2016,HOMICIDE/Non Neglige,231
171,2011,Driving Under Influe,1440
172,2013,Non Aggravated Assau,6250
173,2013,Forcible Fondling,10
174,2015,Stealing from Buildi,4879
175,2015,STEALING,2
176,2018,Counterfeiting,141
177,2010,Family Disturbance,12
178,2011,Sexual Assault with,2
