,Sex,Description,count
0,M,Stealing All Other,182
1,M,Sex Off Indecent Con,15
2,F,Passing Bad Checks,1
3,F,Pornography,11
4,M,Hit and Run of a Per,3
5,M,Sex Off Fondle - mol,67
6,U,Agg Assault - Drive-,1
7,F,Sex Off Fondle - mol,332
8,F,Sex Off Indecent Con,43
9,F,Negligent Manslaught,2
10,F,Trespassing,9
11,F,Stealing All Other,168
12,M,Credit/Debit/ATM Car,8
13,M,Stealing Shoplifting,7
14,F,Aggravated Assault (,854
15,F,Possession of Drug E,9
16,M,Arson,13
17,F,Sexual Assault with,2
18,M,child endangerment,4
19,M,Stealing from Buildi,180
20,M,Rape,13
21,M,Fraud/Confidence Gam,5
22,F,Fraud/Confidence Gam,5
23,F,Sex Offense -others,59
24,M,Sex Off Indecent Exp,8
25,M,Extortion/Blackmail,2
26,M,Violation Ex Parte O,4
27,F,Kidnapping/Abduction,40
28,M,Arson with Fire Bomb,3
29,M,Family Disturbance,5
30,F,Violation Full Order,14
31,F,Agg Assault - Domest,162
32,F,Stalking,3
33,F,Non Aggravated Assau,1098
34,F,Impersonation - NOT,1
35,F,Forcible Sodomy,370
36,M,Family Offense,550
37,F,Peeping Tom,1
38,F,Intimidation,131
39,F,Curfew,1
40,M,Driving Under Influe,8
41,F,Stealing Pickpocket,11
42,F,False Information to,4
43,M,Stealing Auto Parts/,43
44,F,Hit and Run of a Per,1
45,F,Forcible Fondling,15
46,M,Armed Robbery,363
47,F,Rape,337
48,F,HOMICIDE/Non Neglige,6
49,M,Passing Bad Checks,1
50,F,Misc Violation,860
51,F,Prostitution/Patroni,2
52,F,Sex Off Misconduct,105
53,M,Disorderly Conduct,20
54,M,Stealing Purse Snatc,1
55,F,stealing from bldg,1
56,M,Stealing Pickpocket,8
57,M,Aggravated Assault,3
58,M,Forcible Fondling,3
59,F,Disorderly Conduct,24
60,M,Burglary - Non Resid,8
61,F,Stealing Purse Snatc,5
62,M,False Information to,3
63,M,Auto Theft,58
64,M,Weapons Law Violatio,16
65,F,Missing/Runaway Juve,2
66,M,Interference with Cu,9
67,F,Possession/Sale/Dist,16
68,F,Liquor Law Violaton,1
69,M,Intimidation,54
70,M,Aggravated Assault (,1161
71,F,Impersonation,22
72,M,Pornography,6
73,M,Kidnapping/Abduction,26
74,F,Stealing Shoplifting,19
75,M,Non Agg Assault Dome,323
76,M,ENDANGER THE WELFARE,1
77,F,Casualty (includes a,1
78,M,Identity Theft,1
79,M,Wire Fraud,1
80,U,Misc Violation,2
81,F,Interference with Cu,14
82,F,Identity Theft,1
83,F,Family Offense,482
84,F,Statutory Rape,154
85,F,Property Damage,264
86,F,Stealing From Auto,272
87,M,Agg Assault - Drive-,230
88,M,Auto Theft Outside S,1
89,M,Sex Off Misconduct,27
90,M,Possession of Drug E,5
91,F,Violation Ex Parte O,6
92,M,Stealing From Auto,195
93,F,Arson,10
94,F,Burglary - Non Resid,6
95,M,Burglary - Residence,321
96,M,HOMICIDE/Non Neglige,15
97,F,Armed Robbery,197
98,F,Strong Arm Robbery,82
99,F,Aggravated Assault,2
100,F,Drunkenness,1
101,M,Agg Assault - Domest,174
102,F,Prostitution/Solicit,2
103,M,Casualty (includes a,1
104,F,Sex Off Follow/Entic,24
105,M,Stealing Bicycles,29
106,F,Agg Assault - Drive-,167
107,F,Arson with Fire Bomb,3
108,F,Stealing Auto Parts/,30
109,F,Sex Off Indecent Exp,29
110,M,Resisting an Officer,19
111,F,Promoting Prostituti,2
112,M,Non Aggravated Assau,918
113,F,Sex Off Incest,5
114,F,Wire Fraud,5
115,M,Property Damage,267
116,F,Stealing Bicycles,7
117,F,Driving Under Influe,9
118,M,Forgery,3
119,F,Forged Checks,1
120,M,Forcible Sodomy,169
121,M,Trespassing,13
122,M,Stolen Property OFFE,1
123,F,Credit/Debit/ATM Car,23
124,F,Auto Theft,38
125,M,Misc Violation,573
126,M,Strong Arm Robbery,189
127,M,child molistation,1
128,F,Weapons Law Violatio,7
129,M,Sex Off Follow/Entic,5
130,F,Dead Body,12
131,M,Missing/Runaway Juve,5
132,M,Impersonation,11
133,F,Resisting an Officer,25
134,F,Non Agg Assault Dome,647
135,M,Sex Offense -others,19
136,M,Violation Full Order,5
137,F,Forgery,2
138,M,Dead Body,20
139,F,Fraud,1
140,F,Stealing from Buildi,244
141,U,Stealing From Auto,1
142,F,Burglary - Residence,348
143,M,Statutory Rape,10
144,M,Possession/Sale/Dist,22
145,F,peace disturbance,1
